#;Código;País;Partida;Descripción;Peso Neto Kg.;Valor FOB USD.;fechaInicio;fechaFinal
124;IT;Italia;1604141000;ATUNES ENTERO O EN TROZOS , EXCEPTO PICADO;786597.6;6065573.88;01/01/2022;30/09/2022
125;DE;Alemania;304740020;EN BLOQUES, SIN PIEL, SIN ESPINAS;1926918.24;5980234.06;01/01/2022;30/09/2022
126;DE;Alemania;2616100000;MINERALES DE PLATA Y SUS CONCENTRADOS;759057;5940700.57;01/01/2022;30/09/2022
127;PL;Polonia;811909100;MANGO (MANGIFERA INDICA L.);3215523.9;5852506.43;01/01/2022;30/09/2022
128;IT;Italia;1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;2114607.2;5678711.11;01/01/2022;30/09/2022
129;PT;Portugal;901119000;CAFÉ SIN TOSTAR Y SIN DESCAFEINAR EXCEPTO PARA SIEMBRA;1068363;5594531.86;01/01/2022;30/09/2022
130;BE;Bélgica;1302399000;LOS DEMÁS MUCÍLAGOS Y ESPESATIVOS DERIVADOS DE LOS VEGETALES;206103.27;5570205.69;01/01/2022;30/09/2022
131;NL;Países Bajos (Holanda);1207701000;SEMILLAS DE MELÓN PARA SIEMBRA;16549.01;5525071.26;01/01/2022;30/09/2022
132;ES;España;710809000;LOS DEMÁS HORTALIZAS INCLUSO SILVESTRES CONGELADAS EXCEPTO ESPÁRRAGO;1367250.72;5439825.97;01/01/2022;30/09/2022
133;GB;Reino Unido;806100000;UVAS FRESCAS;2438698;5390525.52;01/01/2022;30/09/2022
134;DE;Alemania;712909000;DEMÁS HORTALIZAS, MEZCLAS DE HORTALIZAS, CORTADAS ECORTADOS EN TROZOS O RODAJAS, TRITURADOS, O PULVERIZADOS, SIN OTRA PREPARACIÓN;290731.08;5344623.77;01/01/2022;30/09/2022
135;IT;Italia;1302391000;MUCÍLAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA);214700;5291720.95;01/01/2022;30/09/2022
136;IT;Italia;803901100;BANANAS FRESCAS TIPO «CAVENDISH VALERY»;7758115.2;5278029.2;01/01/2022;30/09/2022
137;GB;Reino Unido;805210000;MANDARINAS (INCLUIDAS LAS TANGERINAS Y SATSUMAS);6643378.2;5263848.66;01/01/2022;30/09/2022
138;GB;Reino Unido;810909000;LOS DEMÁS FRUTAS U OTROS FRUTOS FRESCOS;3329975.8;5207322.43;01/01/2022;30/09/2022
139;FR;Francia;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;1566323.27;5181876.48;01/01/2022;30/09/2022
140;DE;Alemania;2106907100;COMPLEMENTOS Y SUPLEMENTOS ALIMENTICIOS QUE CONTENGAN EXCLUSIVAMENTE MEZCLAS O EXTRACTOS DE PLANTAS, PARTES DE PLANTAS, SEMILLAS O FRUTOS;33440.78;5030495.47;01/01/2022;30/09/2022
141;DE;Alemania;6105100059;LAS DEMÁS CAMISAS DE PUNTO ALGODÓN CON CUELLO Y ABERTURA DELANTERA PARCIAL PARA HOMBRES;92080.3;4604322.17;01/01/2022;30/09/2022
142;ES;España;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;1211644.72;4463807.27;01/01/2022;30/09/2022
143;DE;Alemania;1302391000;MUCÍLAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA);144025;4452816.76;01/01/2022;30/09/2022
144;DE;Alemania;814001000;CORTEZAS DE LIMÓN (LIMÓN SUTIL, LIMÓN COMÚN, LIMÓN CRIOLLO) (CITRUS AURANTIFOLIA) FRESCAS, CONGELADAS, SECAS O CONSERVADAS;4533253.7;4416521.21;01/01/2022;30/09/2022
145;IT;Italia;1605540000;JIBIAS (SEPIAS)*, GLOBITOS, CALAMARES Y POTAS PRECOCIDA CONGELADA;906194.2;4405891.46;01/01/2022;30/09/2022
146;BE;Bélgica;709200000;ESPÁRRAGOS, FRESCOS O REFRIGERADOS;1054780.44;4402204.57;01/01/2022;30/09/2022
147;NL;Países Bajos (Holanda);805210000;MANDARINAS (INCLUIDAS LAS TANGERINAS Y SATSUMAS);6258880.1;4392478.31;01/01/2022;30/09/2022
148;DE;Alemania;7905000012;LAMINADOS PLANOS DE CINC DE ESPESOR SUPERIOR A 0,65 MM;1048224.3;4345018.8;01/01/2022;30/09/2022
149;IT;Italia;804400000;AGUACATES (PALTAS) , FRESCAS O SECAS;2789354;4280957.59;01/01/2022;30/09/2022
150;FR;Francia;7905000012;LAMINADOS PLANOS DE CINC DE ESPESOR SUPERIOR A 0,65 MM;910635.6;4201980.19;01/01/2022;30/09/2022
151;IT;Italia;1404902000;TARA EN POLVO (CAESALPINEA SPINOSA);2474000;4140425.96;01/01/2022;30/09/2022
152;BE;Bélgica;1801001900;CACAO EN GRANO, ENTERO O PARTIDO, CRUDO EXCEPTO PARA SIEMBRA;1501011.53;4135158.76;01/01/2022;30/09/2022
153;ES;España;1604141000;ATUNES ENTERO O EN TROZOS , EXCEPTO PICADO;718141.23;4033203.75;01/01/2022;30/09/2022
154;GB;Reino Unido;1604160000;PREPARACIONES Y CONSERVAS DE ANCHOAS ENTERO O EN TROZOS, EXCEPTO PICADO;398720.14;3982213.43;01/01/2022;30/09/2022
155;BE;Bélgica;804502000;MANGOS Y MANGOSTANES, FRESCOS O SECOS;3285386.2;3969803.23;01/01/2022;30/09/2022
156;SE;Suecia;811909900;LOS DEMÁS FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, SIN ADICIÓN DE AZÚCAR U OTRO EDULCORANTE.;973935.75;3948579.54;01/01/2022;30/09/2022
157;FR;Francia;7901110000;CINC SIN ALEAR, CON UN CONTENIDO DE CINC SUPERIOR O IGUAL AL 99,99% EN PESO;977961.26;3943013.88;01/01/2022;30/09/2022
158;DE;Alemania;2001909000;DEMÁS HORTALIZAS, FRUTAS Y DEMÁS PARTÍCULAS COMESTIBLES DE PLANTAS, PREPARADAS O CONSERVADAS EN VINAGRE;2244845.04;3912080.73;01/01/2022;30/09/2022
159;NL;Países Bajos (Holanda);1209999000;DEMÁS SEMILLAS DE PLANTAS HERBÁCEAS UTILIZADAS PRINCIPALMENTE POR SUS FLORES;8563.77;3873653.37;01/01/2022;30/09/2022
160;ES;España;1005903000;MAÍZ BLANCO GIGANTE (ZEA MAYS AMILÁCEA CV. GIGANTE);2464758.09;3864166.21;01/01/2022;30/09/2022
161;NL;Países Bajos (Holanda);1008509000;QUINUA (QUINOA) (CHENOPODIUM QUINOA) EXCEPTO PARA SIEMBRA;2085459;3855711.85;01/01/2022;30/09/2022
162;FR;Francia;2009892000;JUGO DE MARACUYÁ (PARCHITA) (PASSIFLORA EDULIS);1697400;3838834;01/01/2022;30/09/2022
163;SE;Suecia;5109100000;HILADOS DE LANA O PELO FINO PARA VENTA AL POR MENOR CON UN CONTENIDO >=85% EN PESO;173419.95;3835513.66;01/01/2022;30/09/2022
